drug,effect,cosine_similarities
['spironolactone'],['diarrhoea'],"[('spironolactone', 'diarrhoea', np.float32(0.970948))]"
['vancomycin'],[],"[(None, None, None)]"
[],['iga deficiency'],"[(None, None, None)]"
['prednisolone'],['kaposi'],"[('prednisolone', 'kaposi', np.float32(0.90582097))]"
['metoclopramide'],['nonthrombocytopenic vascular-type palpable purpura'],"[('metoclopramide', 'nonthrombocytopenic vascular-type palpable purpura', np.float32(0.93541104))]"
['tmp-smx'],"['liver toxicity', 'acute liver toxicity']","[('tmp-smx', 'liver toxicity', None), ('tmp-smx', 'acute liver toxicity', None)]"
['amiodarone'],['torsade de pointes'],"[('amiodarone', 'torsade de pointes', np.float32(0.59722716))]"
['imipramine'],['spindle coma'],"[('imipramine', 'spindle coma', np.float32(0.94482243))]"
['valproic acid'],['juvenile absence epilepsy'],"[('valproic acid', 'juvenile absence epilepsy', np.float32(0.6286555))]"
[],['hepatitis'],"[(None, None, None)]"
['l-asparaginase'],['cerebrovascular complications'],"[('l-asparaginase', 'cerebrovascular complications', None)]"
['ifn-alpha'],['mpgn'],"[('ifn-alpha', 'mpgn', None)]"
['digoxin'],['ventricular fibrillation'],"[('digoxin', 'ventricular fibrillation', np.float32(0.8685113))]"
"['simvastatin', 'cyclosporine']",[],"[(None, None, None)]"
['phenytoin'],['maculopapular rashes'],"[('phenytoin', 'maculopapular rashes', np.float32(0.8048683))]"
['methylphenidate'],['pericarditis'],"[('methylphenidate', 'pericarditis', np.float32(0.92480916))]"
['enalaprilat'],['acute bilateral parotitis'],"[('enalaprilat', 'acute bilateral parotitis', np.float32(0.8089022))]"
"['risperidone', 'clozapine']",['encephalopathy'],"[('risperidone', 'encephalopathy', np.float32(0.7878365)), ('clozapine', 'encephalopathy', np.float32(0.634465))]"
['tamoxifen'],[],"[(None, None, None)]"
[],['neurotoxicity'],"[(None, None, None)]"
['mitomycin'],['hus'],"[('mitomycin', 'hus', np.float32(0.8880805))]"
[],['hepatotoxicity'],"[(None, None, None)]"
['fentanyl'],['adrenocortical insufficiency'],"[('fentanyl', 'adrenocortical insufficiency', np.float32(0.6357937))]"
['adenosine'],['atrial flutter'],"[('adenosine', 'atrial flutter', np.float32(0.8986974))]"
"['disopyramide', 'amiodarone', 'quinidine']",['arrhythmia'],"[('disopyramide', 'arrhythmia', np.float32(0.96132034)), ('amiodarone', 'arrhythmia', np.float32(0.8565789)), ('quinidine', 'arrhythmia', np.float32(0.9755961))]"
['olanzapine'],[],"[(None, None, None)]"
"['melphalan', 'busulfan']",['fatal radiation myelopathy'],"[('melphalan', 'fatal radiation myelopathy', np.float32(0.90981805)), ('busulfan', 'fatal radiation myelopathy', np.float32(0.897749))]"
[],['heart failure'],"[(None, None, None)]"
['nitrofurantoin'],['lung disease'],"[('nitrofurantoin', 'lung disease', np.float32(0.794667))]"
['quetiapine'],"['agranulocytosis', 'granulocytopenia']","[('quetiapine', 'agranulocytosis', np.float32(0.89117056)), ('quetiapine', 'granulocytopenia', np.float32(0.92155486))]"
['procainamide'],[],"[(None, None, None)]"
['amphotericin b'],[],"[(None, None, None)]"
['sunitinib'],['hypertension'],"[('sunitinib', 'hypertension', np.float32(0.86766565))]"
"['promethazine', 'mequitazine']",[],"[(None, None, None)]"
['bevacizumab'],['stroke'],"[('bevacizumab', 'stroke', np.float32(0.8745902))]"
['4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol'],"['hypoxemia', 'methemoglobinemia']","[('4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol', 'hypoxemia', np.float32(0.9760298)), ('4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol', 'methemoglobinemia', np.float32(0.91926163))]"
['l-asparaginase'],"['transient ischemic attacks', 'seizure']","[('l-asparaginase', 'transient ischemic attacks', None), ('l-asparaginase', 'seizure', None)]"
['diltiazem'],['headache'],"[('diltiazem', 'headache', np.float32(0.7249248))]"
['infliximab'],[],"[(None, None, None)]"
['indapamide'],[],"[(None, None, None)]"
"['ribavirin', 'pegylated interferon alpha-2a']",['celiac disease'],"[('ribavirin', 'celiac disease', np.float32(0.6803766)), ('pegylated interferon alpha-2a', 'celiac disease', np.float32(0.69751495))]"
['aza'],['leukopenia'],"[('aza', 'leukopenia', np.float32(0.7704175))]"
['ampicillin'],['seizures'],"[('ampicillin', 'seizures', np.float32(0.95021075))]"
[],"['atovaquone vortex keratopathy', 'vortex keratopathy']","[(None, None, None)]"
['lithium'],['pulmonary hypertension'],"[('lithium', 'pulmonary hypertension', np.float32(0.61698276))]"
[],['scleroderma-like reaction'],"[(None, None, None)]"
['rituximab'],[],"[(None, None, None)]"
['pantoprazole'],['ain'],"[('pantoprazole', 'ain', np.float32(0.9496788))]"
['verapamil'],['asthma symptoms'],"[('verapamil', 'asthma symptoms', np.float32(0.6142015))]"
"['citalopram', 'propafenone']",[],"[(None, None, None)]"
[],['intracerebral hemorrhage'],"[(None, None, None)]"
"['mirtazapine', 'citalopram']",['hyponatremia'],"[('mirtazapine', 'hyponatremia', np.float32(0.9295339)), ('citalopram', 'hyponatremia', np.float32(0.71413344))]"
['mtx'],['overwhelming hepatic necrosis'],"[('mtx', 'overwhelming hepatic necrosis', np.float32(0.7173768))]"
['sulindac'],[],"[(None, None, None)]"
['amiodarone'],[],"[(None, None, None)]"
['valproic acid'],[],"[(None, None, None)]"
['bimatoprost'],['deepening of lid sulcus'],"[('bimatoprost', 'deepening of lid sulcus', np.float32(0.94590664))]"
['sorafenib'],['localized dyskeratotic plaque'],"[('sorafenib', 'localized dyskeratotic plaque', np.float32(0.97148585))]"
['nitroglycerin'],[],"[(None, None, None)]"
['lansoprazole'],['thrombocytopenia'],"[('lansoprazole', 'thrombocytopenia', np.float32(0.76211655))]"
['alfa-interferon'],['diabetes mellitus'],"[('alfa-interferon', 'diabetes mellitus', None)]"
[],['nephrotoxicity'],"[(None, None, None)]"
['2-chloro-deoxyadenosine'],[],"[(None, None, None)]"
"['5-fluorouracil', 'levamisole']",['leukoencephalopathy'],"[('5-fluorouracil', 'leukoencephalopathy', None), ('levamisole', 'leukoencephalopathy', np.float32(0.84633))]"
['cilastatin'],['neutropenic fever'],"[('cilastatin', 'neutropenic fever', np.float32(0.7586121))]"
[],['headache'],"[(None, None, None)]"
['mirtazapine'],['severe hypothermia'],"[('mirtazapine', 'severe hypothermia', np.float32(0.8794991))]"
['olanzapine'],"['hematologic side effects', 'granulocytopenia']","[('olanzapine', 'hematologic side effects', np.float32(0.7237833)), ('olanzapine', 'granulocytopenia', np.float32(0.7740831))]"
['magnesium sulfate'],[],"[(None, None, None)]"
['ritodrine hydrochloride'],['rhabdomyolysis'],"[('ritodrine hydrochloride', 'rhabdomyolysis', np.float32(0.7643742))]"
['sargramostim'],"[""sweet's syndrome""]","[('sargramostim', ""sweet's syndrome"", np.float32(0.63079464))]"
[],[],"[(None, None, None)]"
"['carbamazepine', 'ritonavir']",['clinical toxicity'],"[('carbamazepine', 'clinical toxicity', np.float32(0.74022096)), ('ritonavir', 'clinical toxicity', np.float32(0.8465638))]"
"['cs', 'corticosteroid']",['leishmania infantum leishmaniasis'],"[('cs', 'leishmania infantum leishmaniasis', np.float32(0.93867135)), ('corticosteroid', 'leishmania infantum leishmaniasis', np.float32(0.9644366))]"
['methanol'],[],"[(None, None, None)]"
"['clarithromycin', 'isradipine']",[],"[(None, None, None)]"
['isoniazid'],['pellagra dermatitis'],"[('isoniazid', 'pellagra dermatitis', np.float32(0.94117385))]"
['l-asparaginase'],['seizures'],"[('l-asparaginase', 'seizures', None)]"
['interferon alpha'],['optic neuritis'],"[('interferon alpha', 'optic neuritis', np.float32(0.65670574))]"
"['fmf', 'colchicine']",['myopathy'],"[('fmf', 'myopathy', np.float32(0.9681382)), ('colchicine', 'myopathy', np.float32(0.9172434))]"
['clofazimine'],['nail changes'],"[('clofazimine', 'nail changes', np.float32(0.9537604))]"
"['valproic acid', 'l-carnitine']",['fatal hepatotoxic effects'],"[('valproic acid', 'fatal hepatotoxic effects', np.float32(0.796346)), ('l-carnitine', 'fatal hepatotoxic effects', None)]"
[],[],"[(None, None, None)]"
['tamoxifen'],['secretory endometrial adenocarcinoma'],"[('tamoxifen', 'secretory endometrial adenocarcinoma', np.float32(0.8448179))]"
['bleomycin'],['lung toxicity'],"[('bleomycin', 'lung toxicity', np.float32(0.73941475))]"
['chromic phosphate'],['delayed bowel injury'],"[('chromic phosphate', 'delayed bowel injury', np.float32(0.8893076))]"
['verapamil'],[],"[(None, None, None)]"
['ritonavir'],['maculopapular eruption'],"[('ritonavir', 'maculopapular eruption', np.float32(0.8495289))]"
['sumatriptan'],[],"[(None, None, None)]"
['sunitinib'],['gynaecomastia'],"[('sunitinib', 'gynaecomastia', np.float32(0.97331184))]"
['enalapril'],[],"[(None, None, None)]"
['muzolimine'],[],"[(None, None, None)]"
"['ribavirin', 'pegylated interferon alpha-2a']",['adult respiratory distress syndrome'],"[('ribavirin', 'adult respiratory distress syndrome', np.float32(0.6846582)), ('pegylated interferon alpha-2a', 'adult respiratory distress syndrome', np.float32(0.7008009))]"
['alteplase'],"['cutaneous ecchymosis', 'subfascial hematoma', 'sudden fall in hemoglobin']","[('alteplase', 'cutaneous ecchymosis', np.float32(0.8470499)), ('alteplase', 'subfascial hematoma', np.float32(0.989174)), ('alteplase', 'sudden fall in hemoglobin', np.float32(0.97452706))]"
"['ara-c', 'mtx']",['death'],"[('ara-c', 'death', None), ('mtx', 'death', np.float32(0.86541355))]"
['penicillin'],[],"[(None, None, None)]"
['ifn'],"['retinopathy', 'macular edema']","[('ifn', 'retinopathy', np.float32(0.88671535)), ('ifn', 'macular edema', np.float32(0.55110765))]"
[],"['colitis', 'cryptococcosis']","[(None, None, None)]"
['fluphenazine'],['nms'],"[('fluphenazine', 'nms', np.float32(0.9493203))]"
['gemcitabine'],['herpetiform eruption'],"[('gemcitabine', 'herpetiform eruption', np.float32(0.8737013))]"
['cinepazide'],['behavioral change'],"[('cinepazide', 'behavioral change', np.float32(0.9769353))]"
['sulfonamide'],['stevens-johnson syndrome'],"[('sulfonamide', 'stevens-johnson syndrome', np.float32(0.5525798))]"
['amsacrine'],['acute myocardial necrosis'],"[('amsacrine', 'acute myocardial necrosis', np.float32(0.7988405))]"
['propranolol'],['intermittent sinoatrial block'],"[('propranolol', 'intermittent sinoatrial block', np.float32(0.9320387))]"
"['ivig', 'immunoglobulin']",['hyperkalemia'],"[('ivig', 'hyperkalemia', np.float32(0.91833866)), ('immunoglobulin', 'hyperkalemia', np.float32(0.89138836))]"
['sodium bisulfite'],['contact dermatitis'],"[('sodium bisulfite', 'contact dermatitis', np.float32(0.8480164))]"
"['hd-mtx', 'leucovorin']",[],"[(None, None, None)]"
['tmp-sx'],[],"[(None, None, None)]"
['foscarnet'],[],"[(None, None, None)]"
"['methotrexate', 'rofecoxib']",['lymphoproliferative disorder'],"[('methotrexate', 'lymphoproliferative disorder', np.float32(0.6122815)), ('rofecoxib', 'lymphoproliferative disorder', np.float32(0.8868028))]"
['cyanamide'],['slight fever'],"[('cyanamide', 'slight fever', np.float32(0.7984632))]"
['diltiazem'],['fever'],"[('diltiazem', 'fever', np.float32(0.64869297))]"
['budesonide'],['contact dermatitis'],"[('budesonide', 'contact dermatitis', np.float32(0.9239458))]"
['fenoprofen'],['erythroid aplasia'],"[('fenoprofen', 'erythroid aplasia', np.float32(0.9853879))]"
"['sulfacetamide sodium', 'sulfonamide']",['bullous drug reaction'],"[('sulfacetamide sodium', 'bullous drug reaction', np.float32(0.7567422)), ('sulfonamide', 'bullous drug reaction', np.float32(0.84934527))]"
['pyridostigmine bromide'],"['bromide intoxication', 'postoperative psychosis']","[('pyridostigmine bromide', 'bromide intoxication', np.float32(0.9581177)), ('pyridostigmine bromide', 'postoperative psychosis', np.float32(0.93112147))]"
['phenytoin'],[],"[(None, None, None)]"
['budesonide'],['contact dermatitis'],"[('budesonide', 'contact dermatitis', np.float32(0.9239458))]"
['cephalosporins'],['fde'],"[('cephalosporins', 'fde', np.float32(0.98394376))]"
['bleomycin'],['hyperpigmentation'],"[('bleomycin', 'hyperpigmentation', np.float32(0.8033966))]"
['amoxapine'],['cognitive impairments'],"[('amoxapine', 'cognitive impairments', np.float32(0.98674786))]"
['ptu'],[],"[(None, None, None)]"
['pyridostigmine bromide'],['bromide intoxication'],"[('pyridostigmine bromide', 'bromide intoxication', np.float32(0.9581177))]"
['baclofen'],[],"[(None, None, None)]"
['thrombin'],['vasospasm'],"[('thrombin', 'vasospasm', np.float32(0.98721635))]"
[],['insomnia'],"[(None, None, None)]"
[],"['lipoatrophy', 'iddm']","[(None, None, None)]"
['olanzapine'],[],"[(None, None, None)]"
['ethambutol'],['optic chiasm damage'],"[('ethambutol', 'optic chiasm damage', np.float32(0.93757147))]"
['mtx'],[],"[(None, None, None)]"
['epirubicin'],[],"[(None, None, None)]"
[],['agranulocytosis'],"[(None, None, None)]"
"['fosamax', 'alendronate', 'fleet phospho-soda']",['hypocalcemic tetany'],"[('fosamax', 'hypocalcemic tetany', np.float32(0.9232979)), ('alendronate', 'hypocalcemic tetany', np.float32(0.9014673)), ('fleet phospho-soda', 'hypocalcemic tetany', np.float32(0.94122523))]"
['norethisterone'],['gestational diabetes'],"[('norethisterone', 'gestational diabetes', np.float32(0.9572377))]"
[],['dress'],"[(None, None, None)]"
['lithium'],['akathisia'],"[('lithium', 'akathisia', np.float32(0.88147867))]"
['gold'],[],"[(None, None, None)]"
['cefuroxime'],[],"[(None, None, None)]"
[],['agranulocytosis'],"[(None, None, None)]"
['linezolid'],[],"[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
['captopril'],[],"[(None, None, None)]"
['chlorambucil'],['fatal interstitial pneumonitis'],"[('chlorambucil', 'fatal interstitial pneumonitis', np.float32(0.82553405))]"
['raloxifene'],[],"[(None, None, None)]"
['pamidronate'],[],"[(None, None, None)]"
['mmf'],[],"[(None, None, None)]"
[],"['theophylline intoxication', 'diabetic ketoacidosis']","[(None, None, None)]"
['heparin'],['platelet activation'],"[('heparin', 'platelet activation', np.float32(0.8167257))]"
['valproate'],['embryopathy'],"[('valproate', 'embryopathy', np.float32(0.9119892))]"
"['venlafaxine', 'sertraline', 'paroxetine']",['incontinence'],"[('venlafaxine', 'incontinence', np.float32(0.8749589)), ('sertraline', 'incontinence', np.float32(0.80727917)), ('paroxetine', 'incontinence', np.float32(0.9557075))]"
['lithium'],['neurotoxicity'],"[('lithium', 'neurotoxicity', np.float32(0.8171193))]"
[],['pharyngeal burns'],"[(None, None, None)]"
['lacosamide'],[],"[(None, None, None)]"
[],['painful bilateral gynaecomastia'],"[(None, None, None)]"
['interferon beta'],['sarcoidosis'],"[('interferon beta', 'sarcoidosis', np.float32(0.88458604))]"
['propafenone'],[],"[(None, None, None)]"
"['citalopram', 'propafenone']",[],"[(None, None, None)]"
['calcitriol'],['potassium loss'],"[('calcitriol', 'potassium loss', np.float32(0.9377168))]"
"['ethambutol', 'rifampicin']","['hepatitis', 'polyarthritis']","[('ethambutol', 'hepatitis', np.float32(0.69494826)), ('ethambutol', 'polyarthritis', np.float32(0.900881)), ('rifampicin', 'hepatitis', np.float32(0.68547595)), ('rifampicin', 'polyarthritis', np.float32(0.9243581))]"
['isoniazid'],['neurotoxicity'],"[('isoniazid', 'neurotoxicity', np.float32(0.8540944))]"
['ifosfamide'],['nonconvulsive status epilepticus'],"[('ifosfamide', 'nonconvulsive status epilepticus', np.float32(0.9424894))]"
['colchicine'],[],"[(None, None, None)]"
"['cisplatin', 'ifosfamide']",[],"[(None, None, None)]"
"['5-fluorouracil', 'levamisole']",['leukoencephalopathy'],"[('5-fluorouracil', 'leukoencephalopathy', None), ('levamisole', 'leukoencephalopathy', np.float32(0.84633))]"
['all-trans retinoic acid'],['acute promyelocytic leukemia'],"[('all-trans retinoic acid', 'acute promyelocytic leukemia', np.float32(0.5485513))]"
['carbamazepine'],['hyponatraemia'],"[('carbamazepine', 'hyponatraemia', np.float32(0.7325829))]"
['argatroban'],['thrombocytopenia'],"[('argatroban', 'thrombocytopenia', np.float32(0.82905734))]"
['fk506'],['neurologic abnormalities'],"[('fk506', 'neurologic abnormalities', np.float32(0.94694304))]"
"['pyrilamine maleate', 'pentobarbital']",['toxic encephalopathy'],"[('pyrilamine maleate', 'toxic encephalopathy', np.float32(0.80121696)), ('pentobarbital', 'toxic encephalopathy', np.float32(0.79214865))]"
['mycophenolate'],['neutropenia'],"[('mycophenolate', 'neutropenia', np.float32(0.9038139))]"
['methanol'],['central blindness'],"[('methanol', 'central blindness', np.float32(0.8791977))]"
[],['cholestasis'],"[(None, None, None)]"
['triptan'],"['stroke', 'myocardial infarction']","[('triptan', 'stroke', np.float32(0.9339786)), ('triptan', 'myocardial infarction', np.float32(0.85300255))]"
['sodium aurothiomalate'],[],"[(None, None, None)]"
['interferon alpha 2-beta'],['tumor-volume increase'],"[('interferon alpha 2-beta', 'tumor-volume increase', np.float32(0.47390667))]"
['theophylline'],['gynecomastia'],"[('theophylline', 'gynecomastia', np.float32(0.93597215))]"
[],['torsades de pointe'],"[(None, None, None)]"
[],['renal tubular salt wasting'],"[(None, None, None)]"
['gold sodium thiomalate'],[],"[(None, None, None)]"
[],['charles-bonnet syndrome'],"[(None, None, None)]"
"['phenobarbital', 'fluoresone', 'phenytoin']",['gynecomastia'],"[('phenobarbital', 'gynecomastia', np.float32(0.95912856)), ('fluoresone', 'gynecomastia', np.float32(0.99119025)), ('phenytoin', 'gynecomastia', np.float32(0.8611404))]"
"['trazodone', 'lithium']",['movement disorder'],"[('trazodone', 'movement disorder', np.float32(0.9623234)), ('lithium', 'movement disorder', np.float32(0.7234524))]"
['theophylline'],['diabetic ketoacidosis'],"[('theophylline', 'diabetic ketoacidosis', np.float32(0.8164693))]"
['brimonidine'],['apneic'],"[('brimonidine', 'apneic', np.float32(0.9818653))]"
['t-pa'],"['cholesterol crystal embolization', 'renal failure']","[('t-pa', 'cholesterol crystal embolization', None), ('t-pa', 'renal failure', None)]"
[],[],"[(None, None, None)]"
"['protamine', 'insulin']",[],"[(None, None, None)]"
['sumatriptan'],['spontaneous splenic infarction'],"[('sumatriptan', 'spontaneous splenic infarction', np.float32(0.9696012))]"
