text,drug,effect,indexes
bulbar and pseudobulbar palsy complicating therapy with high-dose cytosine arabinoside in children with leukemia,cytosine arabinoside,pseudobulbar palsy,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([86], dtype=int32)}, 'effect': {'start_char': array([11], dtype=int32), 'end_char': array([29], dtype=int32)}}"
cyclophosphamide can rarely cause interstitial pneumonitis and fibrosis,cyclophosphamide,fibrosis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([71], dtype=int32)}}"
treatment of chronic hepatitis c with interferon alpha (ifn-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects,ifn-alpha,psychiatric side effects,"{'drug': {'start_char': array([56], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([163], dtype=int32), 'end_char': array([187], dtype=int32)}}"
"a selective association between fluoxetine and extensive, prominent eye movements in nonrapid eye movement (nrem) sleep was detected, utilizing fisher's exact one-tailed statistic (p less than 0.00001 for each comparison",fluoxetine,eye movements in nonrapid eye movement (nrem) sleep,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}}"
methods: a 68-year-old man developed intense conjunctival hyperemia and cystoid macula edema after switching from latanoprost to bimatoprost 9 months after cataract surgery in an eye at low-risk for this cystoid macular edema,bimatoprost,cystoid macula edema,"{'drug': {'start_char': array([129], dtype=int32), 'end_char': array([140], dtype=int32)}, 'effect': {'start_char': array([72], dtype=int32), 'end_char': array([92], dtype=int32)}}"
we present the first case of a patient with priapism after oral intake of the phenothiazine prothipendylhydrochloride,prothipendylhydrochloride,priapism,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([52], dtype=int32)}}"
"conclusions: ltg overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon",ltg,encephalopathy,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([78], dtype=int32)}}"
we report a case of baclofen withdrawal syndrome resulting from oral baclofen underdosing,baclofen,withdrawal syndrome,"{'drug': {'start_char': array([20, 69], dtype=int32), 'end_char': array([28, 77], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([48], dtype=int32)}}"
"during clarithromycin coadministration, four out of the seven patients developed moderate-to-severe toxic symptoms of carbamazepine, such as drowsiness, dizziness, and ataxia, which resolved within 5 days after clarithromycin discontinuation",carbamazepine,drowsiness,"{'drug': {'start_char': array([118], dtype=int32), 'end_char': array([131], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([151], dtype=int32)}}"
"because there were no other obvious causes of renal failure in either patient, we propose that skeletal muscle ischemia developed during vasopressin infusion, followed by release of myoglobin and renal damage",vasopressin,skeletal muscle ischemia,"{'drug': {'start_char': array([137], dtype=int32), 'end_char': array([148], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([119], dtype=int32)}}"
"in one patient the vasculitis resolved after termination of the ciprofloxacin therapy; in the other patient the ciprofloxacin-induced hemorrhagic vasculitis was superimposed on a severe forefoot infection, leading to progressive gangrene and a below-knee amputation",ciprofloxacin,severe forefoot infection,"{'drug': {'start_char': array([ 64, 112], dtype=int32), 'end_char': array([ 77, 125], dtype=int32)}, 'effect': {'start_char': array([179], dtype=int32), 'end_char': array([204], dtype=int32)}}"
"gold-salt therapy may result in damage to proximal tubules that leak renal tubular antigens, which in turn complex with autoantibody and produce an autoimmune membranous nephropathy",gold-salt,damage to proximal tubules,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([58], dtype=int32)}}"
"we report three patients, all of whom had preexisting diabetic dyslipidemia, who showed a profound reduction in plasma hdl cholesterol and apolipoprotein ai levels soon after the initiation of rosiglitazone therapy",rosiglitazone,reduction in plasma hdl cholesterol and apolipoprotein ai levels,"{'drug': {'start_char': array([193], dtype=int32), 'end_char': array([206], dtype=int32)}, 'effect': {'start_char': array([99], dtype=int32), 'end_char': array([163], dtype=int32)}}"
we report five cases of carboplatin (cbdca) hypersensitivity after weekly low-dose paclitaxel (60 mg/m2)/cbdca (area under the concentration curve = 2) therapy in patients with recurrent ovarian cancer receiving multiple platinum-based chemotherapy,cbdca,hypersensitivity,"{'drug': {'start_char': array([ 37, 105], dtype=int32), 'end_char': array([ 42, 110], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([60], dtype=int32)}}"
drug-induced agranulocytosis during treatment with infliximab in enteropathic spondyloarthropathy,infliximab,agranulocytosis,"{'drug': {'start_char': array([51], dtype=int32), 'end_char': array([61], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"method: we describe two patients who presented with diabetic ketoacidosis after treatment with quetiapine and risperidone, respectively",quetiapine,diabetic ketoacidosis,"{'drug': {'start_char': array([95], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([52], dtype=int32), 'end_char': array([73], dtype=int32)}}"
autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; ara-c) shortly before their death,cytosine arabinoside,herpesvirus infection,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([161], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([41], dtype=int32)}}"
"a 65-year-old female patient presented with jaundice followed 2 days later by severe dyspnea and tachypnea which worsened when patient was lying flat, 1 week after the fourth dose of adalimumab",adalimumab,tachypnea,"{'drug': {'start_char': array([183], dtype=int32), 'end_char': array([193], dtype=int32)}, 'effect': {'start_char': array([97], dtype=int32), 'end_char': array([106], dtype=int32)}}"
objective: to describe a case of sertraline-induced rhabdomyolysis in an elderly patient with dementia and comorbidities,sertraline,rhabdomyolysis,"{'drug': {'start_char': array([33], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([52], dtype=int32), 'end_char': array([66], dtype=int32)}}"
pathogenesis of methotrexate-induced papular eruption in psoriasis may involve immune mechanisms other than those of methotrexate-induced cutaneous vasculitis in collagen vascular disease,methotrexate,cutaneous vasculitis,"{'drug': {'start_char': array([ 16, 117], dtype=int32), 'end_char': array([ 28, 129], dtype=int32)}, 'effect': {'start_char': array([138], dtype=int32), 'end_char': array([158], dtype=int32)}}"
"she was treated with pancrease mt 16, but had consistent vomiting 1 to 2 hours after administration of enzymes",pancrease mt 16,vomiting,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([57], dtype=int32), 'end_char': array([65], dtype=int32)}}"
one of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction,minoxidil,hypertension,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([71], dtype=int32), 'end_char': array([83], dtype=int32)}}"
oral 25-hydroxyvitain d3 in treatment of osteomalacia associated with ileal resection and cholestyramine therapy,25-hydroxyvitain d3,ileal resection,"{'drug': {'start_char': array([5], dtype=int32), 'end_char': array([24], dtype=int32)}, 'effect': {'start_char': array([70], dtype=int32), 'end_char': array([85], dtype=int32)}}"
"it was hypothesized that valproic acid may interfere with glucuronidation of lamotrigine, leading to increased serum lamotrigine levels, or perhaps alter the drug's metabolism, resulting in accumulation of a toxic intermediate metabolite",valproic acid,accumulation of a toxic intermediate metabolite,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([38], dtype=int32)}, 'effect': {'start_char': array([190], dtype=int32), 'end_char': array([237], dtype=int32)}}"
"a 14-year-old female developed systemic lupus erythematosus (sle)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ana) two weeks after administration of carbamazepine (cbz; tegretol) used against benign rolandic epilepsy",cbz,positive anti-nuclear antibody,"{'drug': {'start_char': array([195], dtype=int32), 'end_char': array([198], dtype=int32)}, 'effect': {'start_char': array([109], dtype=int32), 'end_char': array([139], dtype=int32)}}"
phenolphthalein-induced toxic epidermal necrolysis,phenolphthalein,toxic epidermal necrolysis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([15], dtype=int32)}, 'effect': {'start_char': array([24], dtype=int32), 'end_char': array([50], dtype=int32)}}"
cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole,trimethoprim-sulfamethoxazole,cholestatic liver disease,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([142], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([25], dtype=int32)}}"
"conclusion: a 37-year-old african- american man with g6pd deficiency developed hemolytic anemia, hepatitis, orthostatic hypotension, and aseptic meningitis simultaneously after using trimethoprim-sulfamethoxazole",sulfamethoxazole,hemolytic anemia,"{'drug': {'start_char': array([196], dtype=int32), 'end_char': array([212], dtype=int32)}, 'effect': {'start_char': array([79], dtype=int32), 'end_char': array([95], dtype=int32)}}"
the visual loss in this patient seems to result from phenol neurotoxicity rather than mechanical compression of the intraorbital optic nerve,phenol,neurotoxicity,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([73], dtype=int32)}}"
"based on our findings, it is thus concluded that cisplatin may cause c. difficile colitis",cisplatin,c. difficile colitis,"{'drug': {'start_char': array([49], dtype=int32), 'end_char': array([58], dtype=int32)}, 'effect': {'start_char': array([69], dtype=int32), 'end_char': array([89], dtype=int32)}}"
"a 14-year-old female developed systemic lupus erythematosus (sle)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ana) two weeks after administration of carbamazepine (cbz; tegretol) used against benign rolandic epilepsy",tegretol,positive anti-nuclear antibody,"{'drug': {'start_char': array([200], dtype=int32), 'end_char': array([208], dtype=int32)}, 'effect': {'start_char': array([109], dtype=int32), 'end_char': array([139], dtype=int32)}}"
"a 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines",pyrimethamine,abdominal pain,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([172], dtype=int32), 'end_char': array([186], dtype=int32)}}"
